#{"t_start": 1765325655.7412353, "env_id": "Chess-v0"}
r,l,t
-1.0,20,3630.609327
-1.0,23,3641.291111
-1.0,10,3645.846728
-1.0,12,3651.136711
-1.0,7,3653.965782
-1.0,19,3662.880375
-1.0,23,3672.949166
-1.0,31,3685.708742
-1.0,16,3692.620106
-1.0,11,3697.824869
-1.0,16,3704.502787
-1.0,21,3714.066246
-1.0,4,3715.899387
-1.0,18,3723.911933
-1.0,10,3728.382568
-1.0,9,3732.376759
-1.0,7,3735.791578
-1.0,35,3750.221685
-1.0,22,3759.686533
-1.0,7,3762.781743
-1.0,29,3775.414693
-1.0,6,3778.162091
-1.0,21,3787.031158
-1.0,20,3795.125568
-1.0,16,3802.094713
-1.0,33,3814.880001
-1.0,17,3821.877848
-1.0,13,3827.867942
-1.0,30,3839.326974
-1.0,16,3846.437691
-1.0,10,3851.081506
-1.0,27,3863.040089
-1.0,41,3879.41745
-1.0,30,3891.646145
-1.0,15,3898.35564
-1.0,62,3921.370304
-1.0,21,3930.835801
-1.0,7,3934.382659
-1.0,22,3943.938805
-1.0,19,3952.838475
-1.0,10,3957.41388
-1.0,24,3967.427024
-1.0,13,3973.23279
-1.0,17,3980.544262
-1.0,35,3995.725465
-1.0,23,4006.421517
-1.0,22,4015.525187
-1.0,15,4021.69912
-1.0,6,4024.326171
-1.0,5,4026.839626
-1.0,14,4032.645237
-1.0,36,4048.311747
-1.0,18,4055.348613
-1.0,17,4063.120709
-1.0,40,4078.645527
-1.0,22,4087.884589
-1.0,21,4097.04004
-1.0,27,4109.091994
-1.0,14,4116.066155
-1.0,12,4121.610346
-1.0,13,4127.514182
-1.0,5,4129.668141
-1.0,6,4132.718637
-1.0,14,4139.136945
-1.0,13,4145.514721
-1.0,16,4152.563883
-1.0,8,4156.481222
-1.0,16,4164.103647
-1.0,22,4173.795615
-1.0,32,4187.999824
-1.0,24,4197.460738
-1.0,9,4201.272739
-1.0,27,4212.374959
-1.0,23,4222.108459
-1.0,22,4232.201169
-1.0,32,4244.596279
-1.0,11,4249.388989
-1.0,28,4261.966585
-1.0,17,4269.248962
-1.0,6,4271.758547
-1.0,25,4282.264774
-1.0,36,4296.949707
-1.0,7,4299.979445
-1.0,35,4314.048459
-1.0,27,4326.182357
-1.0,10,4330.18606
-1.0,11,4335.149662
-1.0,29,4347.664347
-1.0,8,4351.490668
-1.0,11,4356.18702
-1.0,19,4364.774018
-1.0,24,4375.063574
-1.0,47,4394.272536
-1.0,50,4413.291629
-1.0,15,4421.679953
-1.0,15,4428.313391
-1.0,15,4435.593831
-1.0,19,4444.120916
-1.0,15,4450.773956
-1.0,40,4466.970723
-1.0,17,4474.976688
-1.0,20,4484.130602
-1.0,50,4504.070049
-1.0,14,4511.163329
-1.0,28,4523.236886
-1.0,35,4536.860416
-1.0,19,4545.265085
-1.0,9,4549.218342
-1.0,23,4558.642873
-1.0,20,4568.089422
-1.0,23,4578.181106
-1.0,39,4595.25896
-1.0,22,4604.990122
-1.0,14,4610.806798
-1.0,23,4620.738067
-1.0,10,4625.308698
-1.0,23,4635.201682
-1.0,20,4644.726904
-1.0,27,4656.865991
-1.0,24,4667.377231
-1.0,33,4681.559296
-1.0,16,4688.387927
-1.0,17,4696.374999
-1.0,30,4709.436633
-1.0,32,4723.371135
-1.0,39,4739.090016
-1.0,24,4750.14186
-1.0,25,4761.039502
-1.0,26,4772.189875
-1.0,16,4778.963892
-1.0,9,4783.36699
-1.0,16,4790.748538
-1.0,28,4802.666948
-1.0,20,4811.651043
-1.0,20,4819.854404
-1.0,32,4833.771617
-1.0,26,4845.074623
-1.0,8,4848.986876
-1.0,16,4856.038827
-1.0,36,4872.044663
-1.0,27,4883.636582
-1.0,8,4887.482065
-1.0,13,4893.302377
-1.0,19,4902.144603
-1.0,13,4908.229535
-1.0,33,4922.160545
-1.0,24,4932.218214
-1.0,25,4943.532129
-1.0,23,4953.710261
-1.0,53,4975.113685
-1.0,23,4984.517131
-1.0,30,4997.894832
-1.0,12,5003.599409
-1.0,18,5010.65953
-1.0,32,5024.526482
-1.0,21,5034.322287
-1.0,13,5040.208623
-1.0,24,5050.335129
-1.0,4,5052.211946
-1.0,16,5059.836112
-1.0,16,5066.632742
-1.0,20,5075.277596
-1.0,34,5089.150264
-1.0,17,5096.960836
-1.0,23,5106.545579
-1.0,22,5116.877242
-1.0,26,5127.582516
-1.0,16,5134.365374
-1.0,4,5136.233936
-1.0,23,5145.857973
-1.0,33,5159.818684
-1.0,33,5175.158487
-1.0,21,5183.816767
-1.0,31,5196.394549
-1.0,15,5202.841224
-1.0,39,5218.743404
-1.0,13,5224.841641
-1.0,27,5235.867915
-1.0,23,5246.282828
-1.0,8,5249.888859
-1.0,26,5260.839613
-1.0,17,5268.845822
-1.0,37,5284.28984
-1.0,16,5290.57851
-1.0,18,5298.374355
-1.0,31,5313.339671
-1.0,9,5317.614745
-1.0,24,5328.411484
-1.0,22,5338.557769
-1.0,11,5343.599511
-1.0,26,5354.867697
-1.0,20,5363.859617
-1.0,31,5377.707749
